Date,Open,High,Low,Close,Adj Close,Volume
05/23/2022,108.46,108.82,103.95,107.56,107.56,107797360
05/24/2022,104.02,105.4,101.26,104.1,104.1,102934680
05/25/2022,103.66,108.18,103.65,106.78,106.78,93120100
05/26/2022,107.97,112.66,107.45,111.08,111.08,93002600
05/27/2022,113.55,115.19,112.63,115.15,115.15,93660160
05/31/2022,116.28,121.99,115.68,120.21,120.21,144634160
06/01/2022,122.26,125.18,120.62,121.68,121.68,127528980
06/02/2022,121.68,125.61,120.04,125.51,125.51,100560680
06/03/2022,124.2,124.4,121.05,122.35,122.35,97603320
06/06/2022,125.24,128.99,123.81,124.79,124.79,135269024
06/07/2022,122.0,124.1,120.63,123.0,123.0,85156712
06/08/2022,122.61,123.75,120.75,121.18,121.18,64926594
06/09/2022,119.99,121.3,116.1,116.15,116.15,67029842
06/10/2022,113.42,114.5,109.05,109.65,109.65,87412245
06/13/2022,104.19,106.54,101.86,103.67,103.67,99277742
06/14/2022,104.19,104.88,101.43,102.31,102.31,69728761
06/15/2022,103.86,109.06,103.53,107.67,107.67,85011060
06/16/2022,104.47,104.58,102.01,103.66,103.66,82186301
06/17/2022,102.8,106.98,102.51,106.22,106.22,99772147
06/21/2022,108.2,111.63,103.56,108.68,108.68,70901245
06/22/2022,107.43,112.13,107.02,108.95,108.95,60040131
06/23/2022,110.39,113.0,107.93,112.44,112.44,64345300
06/24/2022,112.38,116.71,111.43,116.46,116.46,69867618
06/27/2022,117.09,117.98,112.7,113.22,113.22,62133240
06/28/2022,113.5,114.85,107.04,107.4,107.4,75172028
06/29/2022,107.38,110.99,106.91,108.92,108.92,66375341
06/30/2022,108.11,108.18,102.52,106.21,106.21,97679401
07/01/2022,106.29,109.75,105.85,109.56,109.56,73021171
07/05/2022,107.6,114.08,106.32,113.5,113.5,76684414
07/06/2022,113.21,115.48,112.01,114.33,114.33,66958884
07/07/2022,113.85,116.99,113.49,116.33,116.33,57872323
07/08/2022,114.6,116.58,113.69,115.54,115.54,45719694
07/11/2022,114.08,114.3,110.87,111.75,111.75,53540019
07/12/2022,112.16,113.23,108.34,109.22,109.22,54280257
07/13/2022,107.03,111.78,106.01,110.4,110.4,61353812
07/14/2022,110.24,111.18,107.58,110.63,110.63,51163140
07/15/2022,112.5,115.59,111.59,113.55,113.55,84317816
07/18/2022,115.0,117.24,113.15,113.76,113.76,59115419
07/19/2022,115.7,118.95,114.03,118.21,118.21,60990043
07/20/2022,118.62,123.48,118.32,122.77,122.77,71268322
07/21/2022,123.2,124.85,121.26,124.63,124.63,60239892
07/22/2022,125.01,125.5,121.35,122.42,122.42,51463797
07/25/2022,122.7,123.64,120.03,121.14,121.14,50221259
07/26/2022,115.79,118.15,114.53,114.81,114.81,67075064
07/27/2022,117.31,121.9,117.16,120.97,120.97,61582015
07/28/2022,121.57,122.84,118.08,122.28,122.28,82245543
07/29/2022,134.9,137.65,132.41,134.95,134.95,148892889
08/01/2022,134.96,138.83,133.51,135.39,135.39,76846908
08/02/2022,134.72,137.44,134.09,134.16,134.16,61922429
08/03/2022,136.21,140.49,136.05,139.52,139.52,71827780
08/04/2022,140.58,143.56,139.55,142.57,142.57,70585020
08/05/2022,140.1,142.86,139.6,140.8,140.8,50686865
08/08/2022,142.05,144.23,138.29,139.41,139.41,52303475
08/09/2022,138.05,138.95,136.21,137.83,137.83,40434715
08/10/2022,142.9,144.6,141.01,142.69,142.69,54773819
08/11/2022,143.86,144.49,139.76,140.64,140.64,44867336
08/12/2022,142.05,143.57,140.12,143.55,143.55,47643484
08/15/2022,142.8,143.76,141.49,143.18,143.18,39014583
08/16/2022,143.9,146.57,142.0,144.78,144.78,59102859
08/17/2022,142.69,143.38,140.78,142.1,142.1,48149778
08/18/2022,141.32,142.77,140.38,142.3,142.3,37458737
08/19/2022,140.47,141.11,137.91,138.23,138.23,47792843
08/22/2022,135.72,136.32,132.85,133.22,133.22,50461504
08/23/2022,133.41,134.99,132.95,133.62,133.62,36252103
08/24/2022,132.75,135.47,132.1,133.8,133.8,38626978
08/25/2022,135.26,137.42,134.28,137.28,137.28,37496283
08/26/2022,136.55,137.83,130.5,130.75,130.75,53322663
08/29/2022,129.9,131.95,128.77,129.79,129.79,48101638
08/30/2022,131.25,132.07,126.85,128.73,128.73,49202990
08/31/2022,129.45,130.59,126.74,126.77,126.77,53648702
09/01/2022,126.0,128.02,123.66,127.82,127.82,56636145
09/02/2022,129.5,131.38,126.39,127.51,127.51,57429829
09/06/2022,127.92,128.62,124.74,126.11,126.11,43888587
09/07/2022,126.12,129.82,125.4,129.48,129.48,47834487
09/08/2022,127.72,130.28,127.1,129.82,129.82,43988509
09/09/2022,130.91,133.69,130.76,133.27,133.27,49422259
09/12/2022,134.1,136.49,134.0,136.45,136.45,53826859
09/13/2022,131.01,131.4,126.27,126.82,126.82,72694010
09/14/2022,127.36,128.84,126.33,128.55,128.55,45316772
09/15/2022,127.38,130.37,125.5,126.28,126.28,52887196
09/16/2022,122.78,123.87,120.7,123.53,123.53,115667804
09/19/2022,122.16,124.71,121.8,124.66,124.66,47279727
09/20/2022,123.35,124.4,121.14,122.19,122.19,47698432
09/21/2022,122.49,123.76,118.45,118.54,118.54,58498887
09/22/2022,117.08,118.79,116.26,117.31,117.31,55229190
09/23/2022,116.0,116.05,112.06,113.78,113.78,65126665
09/26/2022,113.3,117.34,113.13,115.15,115.15,62723268
09/27/2022,117.2,118.32,113.05,114.41,114.41,60094693
09/28/2022,114.38,118.7,113.8,118.01,118.01,55763750
09/29/2022,115.6,116.07,113.06,114.8,114.8,58969714
09/30/2022,114.08,116.92,112.84,113.0,113.0,59479586
10/03/2022,113.58,116.91,112.45,115.88,115.88,50941854
