Date,Open,High,Low,Close,Adj Close,Volume
06/17/2022,244.7,250.5,244.03,247.65,247.65,43084780
06/21/2022,250.25,254.75,249.51,253.74,253.74,29928297
06/22/2022,251.89,257.17,250.37,253.13,253.13,25961215
06/23/2022,255.57,259.37,253.63,258.86,258.86,25861449
06/24/2022,261.81,267.98,261.72,267.7,267.7,33923231
06/27/2022,268.21,268.3,263.28,264.89,264.89,24615114
06/28/2022,263.98,266.91,256.32,256.48,256.48,27380247
06/29/2022,257.59,261.97,255.76,260.26,260.26,20069839
06/30/2022,257.05,259.53,252.9,256.83,256.83,31730868
07/01/2022,256.39,259.77,254.61,259.58,259.58,22837692
07/05/2022,256.16,262.98,254.74,262.85,262.85,22971634
07/06/2022,263.75,267.99,262.4,266.21,266.21,23824419
07/07/2022,265.12,269.05,265.02,268.4,268.4,20859874
07/08/2022,264.79,268.1,263.28,267.66,267.66,19658751
07/11/2022,265.65,266.53,262.18,264.51,264.51,19519108
07/12/2022,265.88,265.94,252.04,253.67,253.67,35868450
07/13/2022,250.19,253.55,248.11,252.72,252.72,29497423
07/14/2022,250.57,255.14,245.94,254.08,254.08,25102823
07/15/2022,255.72,260.37,254.77,256.72,256.72,29774050
07/18/2022,259.75,260.84,253.3,254.25,254.25,20975034
07/19/2022,257.57,259.72,253.68,259.53,259.53,25012562
07/20/2022,259.9,264.87,258.91,262.27,262.27,22788282
07/21/2022,259.79,264.89,257.03,264.84,264.84,22404675
07/22/2022,265.24,265.33,259.07,260.36,260.36,21881290
07/25/2022,261.0,261.5,256.81,258.83,258.83,21055998
07/26/2022,259.86,259.88,249.57,251.9,251.9,39347957
07/27/2022,261.16,270.05,258.85,268.74,268.74,45994049
07/28/2022,269.75,277.84,267.87,276.41,276.41,33459327
07/29/2022,277.7,282.0,276.63,280.74,280.74,32152752
08/01/2022,277.82,281.28,275.84,278.01,278.01,21539580
08/02/2022,276.0,277.89,272.38,274.82,274.82,22754184
08/03/2022,276.76,283.5,276.61,282.47,282.47,23518874
08/04/2022,281.8,283.8,280.17,283.65,283.65,18098668
08/05/2022,279.15,283.65,278.68,282.91,282.91,16774606
08/08/2022,284.05,285.92,279.32,280.32,280.32,18757818
08/09/2022,279.64,283.08,277.61,282.3,282.3,23405238
08/10/2022,288.17,289.81,286.94,289.16,289.16,24687845
08/11/2022,290.85,291.21,286.51,287.02,287.02,20065938
